,id,type,text,excl,incl,duration,survey,score
229,062_0002_0602,single_select, Is the UK entity completing this questionnaire    an affiliate company or a branch Section C    Immediate Foreign Parent Company or Head Office Details Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0
294,064_0002_0602,single_select, Is the UK entity completing this questionnaire    an affiliate company or a branch Section C    Immediate Foreign Parent Company or Head Office Details Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9853773846212848
230,062_0002_1011,pound_hunthousands, consolidated profit What was the value of this immediate foreign parent s share of the UK affiliate company s Section D   Earnings and Dividends Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,0.9999999999999998
295,064_0002_1011,pound_hunthousands, consolidated profit What was the value of this immediate foreign parent s share of the UK affiliate company s Section D   Earnings and Dividends Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9796949420563915
261,063_0002_1011,pound_hunthousands, consolidated profit What was the value of the UK company s share of this immediate foreign affiliate s C   Earnings and Dividends Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.9196787927382443
296,064_0002_1012,pound_hunthousands, consolidated loss What was the value of this immediate foreign parent s share of the UK affiliate company s Section D   Earnings and Dividends Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9024946278692362
231,062_0002_1012,pound_hunthousands, consolidated loss What was the value of this immediate foreign parent s share of the UK affiliate company s Section D   Earnings and Dividends Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,0.9999999999999998
296,064_0002_1012,pound_hunthousands, consolidated loss What was the value of this immediate foreign parent s share of the UK affiliate company s Section D   Earnings and Dividends Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9796949420563916
262,063_0002_1012,pound_hunthousands, consolidated loss What was the value of the UK company s share of this immediate foreign affiliate s C   Earnings and Dividends Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.9196787927382443
295,064_0002_1011,pound_hunthousands, consolidated profit What was the value of this immediate foreign parent s share of the UK affiliate company s Section D   Earnings and Dividends Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9024946278692361
232,062_0002_2019,pound_hunthousands, What was the value of ordinary dividends paid to this immediate foreign parent in this reporting period Section D   Earnings and Dividends Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0000000000000002
297,064_0002_2019,pound_hunthousands, What was the value of ordinary dividends paid to this immediate foreign parent in this reporting period Section D   Earnings and Dividends Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9818870540923639
263,063_0002_2019,pound_hunthousands, What was the value of ordinary dividends paid by this immediate foreign affiliate in this reporting period C   Earnings and Dividends Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.8811392902798896
328,065_0002_2019,pound_hunthousands, What was the value of ordinary dividends paid by this immediate foreign affiliate in this reporting period C   Earnings and Dividends Quarterly Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,065,0.8646435836306995
233,062_0002_3291,pound_neghunthousands, What was the value    as recorded in the UK affiliate company s balance sheet    of unquoted equity capital and reserves of the UK affiliate company directly attributable to this immediate foreign parent company at the start of the reporting period   Section E   Equity Capital Transactions and Balance Sheet Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0
298,064_0002_3291,pound_neghunthousands, What was the value    as recorded in the UK affiliate company s balance sheet    of unquoted equity capital and reserves of the UK affiliate company directly attributable to this immediate foreign parent company at the start of the reporting period   Section E   Equity Capital Transactions and Balance Sheet Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9934325046975556
299,064_0002_3292,pound_neghunthousands, What was the value    as recorded in the UK affiliate company s balance sheet    of unquoted equity capital and reserves of the UK affiliate company directly attributable to this immediate foreign parent company at the end of the reporting period Section E   Equity Capital Transactions and Balance Sheet Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.969469394049008
265,063_0002_3292,pound_neghunthousands, What was the value    as recorded in the balance sheet    of unquoted equity capital and reserves of this immediate foreign affiliate directly attributable to the UK parent company at the end of the reporting period Section D   Equity Capital Transactions and Balance Sheet Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.9182691386531889
234,062_0002_3292,pound_neghunthousands, What was the value    as recorded in the UK affiliate company s balance sheet    of unquoted equity capital and reserves of the UK affiliate company directly attributable to this immediate foreign parent company at the end of the reporting period Section E   Equity Capital Transactions and Balance Sheet Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0000000000000002
299,064_0002_3292,pound_neghunthousands, What was the value    as recorded in the UK affiliate company s balance sheet    of unquoted equity capital and reserves of the UK affiliate company directly attributable to this immediate foreign parent company at the end of the reporting period Section E   Equity Capital Transactions and Balance Sheet Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9933994219881372
298,064_0002_3291,pound_neghunthousands, What was the value    as recorded in the UK affiliate company s balance sheet    of unquoted equity capital and reserves of the UK affiliate company directly attributable to this immediate foreign parent company at the start of the reporting period   Section E   Equity Capital Transactions and Balance Sheet Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9694886495116208
265,063_0002_3292,pound_neghunthousands, What was the value    as recorded in the balance sheet    of unquoted equity capital and reserves of this immediate foreign affiliate directly attributable to the UK parent company at the end of the reporting period Section D   Equity Capital Transactions and Balance Sheet Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.9443086792864348
235,062_0002_2211,pound_hunthousands, acquisitions of unquoted equity capital by this immediate foreign parent What was the total value at the end of the period of Section E   Equity Capital Transactions and Balance Sheet Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0000000000000002
300,064_0002_2211,pound_hunthousands, acquisitions of unquoted equity capital by this immediate foreign parent What was the total value at the end of the period of Section E   Equity Capital Transactions and Balance Sheet Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9885169006051936
301,064_0002_2212,pound_hunthousands, disposals of unquoted equity capital by this immediate foreign parent What was the total value at the end of the period of Section E   Equity Capital Transactions and Balance Sheet Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9251775520453123
266,063_0002_2211,pound_hunthousands, acquisitions of equity capital by the UK parent company What was the total value at the end of the period of Section D   Equity Capital Transactions and Balance Sheet Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.8833091444298449
236,062_0002_2212,pound_hunthousands, disposals of unquoted equity capital by this immediate foreign parent What was the total value at the end of the period of Section E   Equity Capital Transactions and Balance Sheet Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0000000000000002
301,064_0002_2212,pound_hunthousands, disposals of unquoted equity capital by this immediate foreign parent What was the total value at the end of the period of Section E   Equity Capital Transactions and Balance Sheet Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9885169006051936
300,064_0002_2211,pound_hunthousands, acquisitions of unquoted equity capital by this immediate foreign parent What was the total value at the end of the period of Section E   Equity Capital Transactions and Balance Sheet Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9251775520453123
267,063_0002_2212,pound_hunthousands, disposals of equity capital by the UK parent company What was the total value at the end of the period of Section D   Equity Capital Transactions and Balance Sheet Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.8833091444298449
237,062_0002_3691,pound_hunthousands, What was the value    as recorded in your balance sheet    of preference shares and debt of the UK affiliate company directly owed to this immediate foreign parent at the start of the reporting period Section E   Preference Shares and Debt Attributable to the Immediate Foreign Parent Company Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,0.9999999999999999
302,064_0002_3691,pound_hunthousands, What was the value    as recorded in your balance sheet    of preference shares and debt of the UK affiliate company directly owed to this immediate foreign parent at the start of the reporting period Section E   Preference Shares and Debt Attributable to the Immediate Foreign Parent Company Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9936050678672663
303,064_0002_3692,pound_hunthousands, What was the value    as recorded in your balance sheet    of preference shares and debt of the UK affiliate company directly owed to this immediate foreign parent at the end of the reporting period Section E   Preference Shares and Debt Attributable to the Immediate Foreign Parent Company Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9702744495109435
268,063_0002_3691,pound_hunthousands, What was the value    as recorded in your balance sheet    of preference shares and debt of this immediate foreign affiliate directly owed to the UK parent company at the start of the reporting period Section E   Preference Shares and Debt Attributable to the UK Parent Company Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.9654244669708764
238,062_0002_3692,pound_hunthousands, What was the value    as recorded in your balance sheet    of preference shares and debt of the UK affiliate company directly owed to this immediate foreign parent at the end of the reporting period Section E   Preference Shares and Debt Attributable to the Immediate Foreign Parent Company Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0000000000000004
303,064_0002_3692,pound_hunthousands, What was the value    as recorded in your balance sheet    of preference shares and debt of the UK affiliate company directly owed to this immediate foreign parent at the end of the reporting period Section E   Preference Shares and Debt Attributable to the Immediate Foreign Parent Company Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.993573704998242
302,064_0002_3691,pound_hunthousands, What was the value    as recorded in your balance sheet    of preference shares and debt of the UK affiliate company directly owed to this immediate foreign parent at the start of the reporting period Section E   Preference Shares and Debt Attributable to the Immediate Foreign Parent Company Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9702927179722587
269,063_0002_3692,pound_hunthousands, What was the value    as recorded in your balance sheet    of preference shares and debt of this immediate foreign affiliate directly owed to the UK parent company at the end of the reporting period Section E   Preference Shares and Debt Attributable to the UK Parent Company Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.9652511283304102
239,062_0002_2611,pound_hunthousands, acquisitions of preference shares and debt of this immediate foreign affiliate by the UK parent company What was the total value at the end of the reporting period of Section E   Preference Shares and Debt Attributable to the Immediate Foreign Parent Company Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0000000000000002
304,064_0002_2611,pound_hunthousands, acquisitions of preference shares and debt of this immediate foreign affiliate by the UK parent company What was the total value at the end of the reporting period of Section E   Preference Shares and Debt Attributable to the Immediate Foreign Parent Company Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.993015207046913
270,063_0002_2611,pound_hunthousands, acquisitions of preference shares and debt of this immediate foreign affiliate by the UK parent company What was the total value at the end of the reporting period of Section E   Preference Shares and Debt Attributable to the UK Parent Company Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.9621579963417592
335,065_0002_2611,pound_hunthousands, acquisitions of preference shares and debt of this immediate foreign affiliate by the UK parent company What was the total value at the end of the reporting period of Section E   Preference Shares and Debt Attributable to the UK Parent Company Quarterly Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,065,0.9548047414960149
240,062_0002_2612,pound_hunthousands, disposals of preference shares and debt of the UK affiliate company by this immediate foreign parent company What was the total value at the end of the reporting period of Section E   Preference Shares and Debt Attributable to the Immediate Foreign Parent Company Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0000000000000002
305,064_0002_2612,pound_hunthousands, disposals of preference shares and debt of the UK affiliate company by this immediate foreign parent company What was the total value at the end of the reporting period of Section E   Preference Shares and Debt Attributable to the Immediate Foreign Parent Company Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9934456104660202
271,063_0002_2612,pound_hunthousands, disposals of preference shares and debt of this immediate foreign affiliate by the UK parent company What was the total value at the end of the reporting period of Section E   Preference Shares and Debt Attributable to the UK Parent Company Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.9586940087705619
336,065_0002_2612,pound_hunthousands, disposals of preference shares and debt of this immediate foreign affiliate by the UK parent company What was the total value at the end of the reporting period of Section E   Preference Shares and Debt Attributable to the UK Parent Company Quarterly Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,065,0.9514490964646315
241,062_0002_3721,pound_hunthousands, opening intercompany DEBTOR balance owed by this immediate foreign parent company at the start of the reporting period What was the gross value of the Section G   Balance Sheet  Intercompany Loans and Current Account Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0000000000000002
306,064_0002_3721,pound_hunthousands, opening intercompany DEBTOR balance owed by this immediate foreign parent company at the start of the reporting period What was the gross value of the Section G   Balance Sheet  Intercompany Loans and Current Account Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.989112529057726
274,063_0002_3711,pound_hunthousands, opening intercompany DEBTOR balance owed to the UK parent company at the start of the reporting period What was the gross value of the Section F   Balance Sheet  Intercompany Loans and Current Account Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.9146560964879796
242,062_0002_3722,pound_hunthousands, closing intercompany DEBTOR balance owed by this immediate foreign parent company at the end of the reporting period What was the gross value of the Section G   Balance Sheet  Intercompany Loans and Current Account Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0000000000000002
307,064_0002_3722,pound_hunthousands, closing intercompany DEBTOR balance owed by this immediate foreign parent company at the end of the reporting period What was the gross value of the Section G   Balance Sheet  Intercompany Loans and Current Account Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.988862132214008
275,063_0002_3712,pound_hunthousands, closing intercompany DEBTOR balance owed to the UK parent company at the end of the reporting period What was the gross value of the Section F   Balance Sheet  Intercompany Loans and Current Account Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.91261393547702
243,062_0002_3711,pound_hunthousands, opening intercompany CREDITOR balance owed to this immediate foreign parent company at the start of the reporting period What was the gross value of the Section G   Balance Sheet  Intercompany Loans and Current Account Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0000000000000002
308,064_0002_3711,pound_hunthousands, opening intercompany CREDITOR balance owed to this immediate foreign parent company at the start of the reporting period What was the gross value of the Section G   Balance Sheet  Intercompany Loans and Current Account Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9889784811177953
272,063_0002_3721,pound_hunthousands, opening intercompany CREDITOR balance owed by the UK parent company at the start of the reporting period What was the gross value of the Section F   Balance Sheet  Intercompany Loans and Current Account Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.9142874045846237
244,062_0002_3712,pound_hunthousands, closing intercompany CREDITOR balance owed to this immediate foreign parent company at the end of the reporting period What was the gross value of the Section G   Balance Sheet  Intercompany Loans and Current Account Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0
309,064_0002_3712,pound_hunthousands, closing intercompany CREDITOR balance owed to this immediate foreign parent company at the end of the reporting period What was the gross value of the Section G   Balance Sheet  Intercompany Loans and Current Account Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9887218076820018
273,063_0002_3722,pound_hunthousands, closing intercompany CREDITOR balance owed by the UK parent company at the end of the reporting period What was the gross value of the Section F   Balance Sheet  Intercompany Loans and Current Account Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.912228104732421
245,062_0002_1211,pound_hunthousands, to this immediate foreign affiliate What was the value of the gross interest charge  before deduction of withholding taxes and tax credits  on an accurals basis in this period Section G   Balance Sheet  Intercompany Loans and Current Account Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0
310,064_0002_1211,pound_hunthousands, to this immediate foreign affiliate What was the value of the gross interest charge  before deduction of withholding taxes and tax credits  on an accurals basis in this period Section G   Balance Sheet  Intercompany Loans and Current Account Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9907735696283692
311,064_0002_1212,pound_hunthousands, from this immediate foreign parent company What was the value of the gross interest charge  before deduction of withholding taxes and tax credits  on an accurals basis in this period Section G   Balance Sheet  Intercompany Loans and Current Account Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9512130586709698
277,063_0002_1212,pound_hunthousands, from the UK parent company to this immediate foreign affiliate What was the value of the gross interest charge  i e  before deduction of withholding taxes and tax credits  on an accurals basis in this period Section F   Balance Sheet  Intercompany Loans and Current Account Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.9475572481368643
246,062_0002_1212,pound_hunthousands, from this immediate foreign parent company What was the value of the gross interest charge  before deduction of withholding taxes and tax credits  on an accurals basis in this period Section G   Balance Sheet  Intercompany Loans and Current Account Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0000000000000002
311,064_0002_1212,pound_hunthousands, from this immediate foreign parent company What was the value of the gross interest charge  before deduction of withholding taxes and tax credits  on an accurals basis in this period Section G   Balance Sheet  Intercompany Loans and Current Account Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9909143726554446
277,063_0002_1212,pound_hunthousands, from the UK parent company to this immediate foreign affiliate What was the value of the gross interest charge  i e  before deduction of withholding taxes and tax credits  on an accurals basis in this period Section F   Balance Sheet  Intercompany Loans and Current Account Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.9552126696930903
276,063_0002_1211,pound_hunthousands, to the UK parent company from this immediate foreign affiliate What was the value of the gross interest charge  i e  before deduction of withholding taxes and tax credits  on an accurals basis in this period Section F   Balance Sheet  Intercompany Loans and Current Account Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.9552126696930903
247,062_0002_1111,pound_hunthousands, profit What was the value of this UK branch s For FDI    a branch is a permanent establishment but not a separate legal entity  Such establishments should either have a complete set of accounts or be able to compile a meaningful set of accounts    from both an economic and legal viewpoint  A branch is controlled by the  Head Office  of the parent company Section H   Branch Earnings and Loans Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0000000000000002
312,064_0002_1111,pound_hunthousands, profit What was the value of this UK branch s For FDI    a branch is a permanent establishment but not a separate legal entity  Such establishments should either have a complete set of accounts or be able to compile a meaningful set of accounts    from both an economic and legal viewpoint  A branch is controlled by the  Head Office  of the parent company Section H   Branch Earnings and Loans Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9956814546625841
313,064_0002_1112,pound_hunthousands, loss What was the value of this UK branch s For FDI    a branch is a permanent establishment but not a separate legal entity  Such establishments should either have a complete set of accounts or be able to compile a meaningful set of accounts    from both an economic and legal viewpoint  A branch is controlled by the  Head Office  of the parent company Section H   Branch Earnings and Loans Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9793095684245028
